2025/07/23 15:28:10 [error] 16464#2364: *20312 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:10014", host: "planty.local", referrer: "http://planty.local/wp-admin/post.php?post=27&action=elementor"
2025/07/23 15:28:10 [error] 16464#2364: *20307 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /index.php?rest_route=/elementor/v1/checklist/user-progress HTTP/1.1", upstream: "fastcgi://127.0.0.1:10014", host: "planty.local", referrer: "http://planty.local/wp-admin/post.php?post=27&action=elementor"
2025/07/23 15:28:11 [error] 16464#2364: *20310 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /index.php?rest_route=/elementor/v1/kit-elements-defaults HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "planty.local", referrer: "http://planty.local/wp-admin/post.php?post=27&action=elementor"
2025/07/23 15:28:11 [error] 16464#2364: *20310 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /index.php?rest_route=/elementor/v1/kit-elements-defaults HTTP/1.1", upstream: "fastcgi://php", host: "planty.local", referrer: "http://planty.local/wp-admin/post.php?post=27&action=elementor"
2025/07/23 15:28:11 [error] 16464#2364: *20494 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /index.php?rest_route=%2Fwpforms%2Fv1%2Felementor%2Fthemes%2F&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "planty.local", referrer: "http://planty.local/?elementor-hf=27&elementor-preview=27&ver=1753277287"
2025/07/23 15:28:11 [error] 16464#2364: *20494 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /index.php?rest_route=%2Fwpforms%2Fv1%2Felementor%2Fthemes%2F&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "planty.local", referrer: "http://planty.local/?elementor-hf=27&elementor-preview=27&ver=1753277287"
2025/07/23 15:28:11 [error] 16464#2364: *20307 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /index.php?rest_route=/elementor/v1/checklist/user-progress HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "planty.local", referrer: "http://planty.local/wp-admin/post.php?post=27&action=elementor"
2025/07/23 15:28:11 [error] 16464#2364: *20497 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /index.php?rest_route=/elementor/v1/globals HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "planty.local", referrer: "http://planty.local/wp-admin/post.php?post=27&action=elementor"
2025/07/23 15:28:11 [error] 16464#2364: *20497 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /index.php?rest_route=/elementor/v1/globals HTTP/1.1", upstream: "fastcgi://php", host: "planty.local", referrer: "http://planty.local/wp-admin/post.php?post=27&action=elementor"
2025/07/23 15:28:12 [error] 16464#2364: *20500 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /index.php?rest_route=/elementor/v1/checklist/user-progress HTTP/1.1", upstream: "fastcgi://php", host: "planty.local", referrer: "http://planty.local/wp-admin/post.php?post=27&action=elementor"
2025/07/23 15:28:14 [error] 16464#2364: *20501 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /index.php?rest_route=/elementor/v1/checklist/user-progress HTTP/1.1", upstream: "fastcgi://php", host: "planty.local", referrer: "http://planty.local/wp-admin/post.php?post=27&action=elementor"
2025/07/23 15:28:18 [error] 16464#2364: *20502 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /index.php?rest_route=/elementor/v1/checklist/user-progress HTTP/1.1", upstream: "fastcgi://php", host: "planty.local", referrer: "http://planty.local/wp-admin/post.php?post=27&action=elementor"
